Year,Jurisdiction,All students,Average scale score,,,,,,,,,,,,,,,,,,,,,,
2024,National,All students,258,,,,,,,,,,,,,,,,,,,,,,
2022,National,All students,260,,,,,,,,,,,,,,,,,,,,,,
2019,National,All students,263,,,,,,,,,,,,,,,,,,,,,,
2017,National,All students,267,,,,,,,,,,,,,,,,,,,,,,
2015,National,All students,265,,,,,,,,,,,,,,,,,,,,,,
2013,National,All students,268,,,,,,,,,,,,,,,,,,,,,,
2011,National,All students,265,,,,,,,,,,,,,,,,,,,,,,
2009,National,All students,264,,,,,,,,,,,,,,,,,,,,,,
2007,National,All students,263,,,,,,,,,,,,,,,,,,,,,,
2005,National,All students,262,,,,,,,,,,,,,,,,,,,,,,
2003,National,All students,263,,,,,,,,,,,,,,,,,,,,,,
2002,National,All students,264,,,,,,,,,,,,,,,,,,,,,,
1998,National,All students,263,,,,,,,,,,,,,,,,,,,,,,
1998¹,National,All students,264,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,All students,260,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,All students,260,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
